z,G,ILambda_0_0,ILambda_1_0,a
-0.6,0,0,0,0.0416666666667
-0.593969849246,2618.76753093,13.0246811674,13.0246811674,0.0416666666667
-0.587939698492,5237.53506186,26.0493623348,26.0493623348,0.0416666666667
-0.581909547739,7856.3025928,39.0740435022,39.0740435022,0.0416666666667
-0.575879396985,10475.0701237,52.0987246696,52.0987246696,0.0416666666667
-0.569849246231,13093.8376547,65.1234058369,65.1234058369,0.0416666666667
-0.563819095477,15712.6051856,78.1480870043,78.1480870043,0.0416666666667
-0.557788944724,18331.3727165,91.1727681717,91.1727681717,0.0416666666667
-0.55175879397,20950.1402475,104.197449339,104.197449339,0.0416666666667
-0.545728643216,23568.9077784,117.222130506,117.222130506,0.0416666666667
-0.539698492462,26187.6753093,130.246811674,130.246811674,0.0416666666667
-0.533668341709,28806.4428403,143.271492841,143.271492841,0.0416666666667
-0.527638190955,31425.2103712,156.296174009,156.296174009,0.0416666666667
-0.521608040201,34043.9779021,169.320855176,169.320855176,0.0416666666667
-0.515577889447,36662.7454331,182.345536343,182.345536343,0.0416666666667
-0.509547738693,39281.512964,195.370217511,195.370217511,0.0416666666667
-0.50351758794,41900.2804949,208.394898678,208.394898678,0.0416666666667
-0.497487437186,44519.0480258,221.419579846,221.419579846,0.0416666666667
-0.491457286432,47137.8155568,234.444261013,234.444261013,0.0416666666667
-0.485427135678,49756.5830877,247.46894218,247.46894218,0.0416666666667
-0.479396984925,52375.3506186,260.493623348,260.493623348,0.0416666666667
-0.473366834171,54994.1181496,273.518304515,273.518304515,0.0416666666667
-0.467336683417,57612.8856805,286.542985683,286.542985683,0.0416666666667
-0.461306532663,60231.6532114,299.56766685,299.56766685,0.0416666666667
-0.45527638191,62850.4207424,312.592348017,312.592348017,0.0416666666667
-0.449246231156,65469.1882733,325.617029185,325.617029185,0.0416666666667
-0.443216080402,68087.9558042,338.641710352,338.641710352,0.0416666666667
-0.437185929648,70706.7233352,351.666391519,351.666391519,0.0416666666667
-0.431155778894,73325.4908661,364.691072687,364.691072687,0.0416666666667
-0.425125628141,75944.258397,377.715753854,377.715753854,0.0416666666667
-0.419095477387,78563.025928,390.740435022,390.740435022,0.0416666666667
-0.413065326633,81181.7934589,403.765116189,403.765116189,0.0416666666667
-0.407035175879,83800.5609898,416.789797356,416.789797356,0.0416666666667
-0.401005025126,86419.3285208,429.814478524,429.814478524,0.0416666666667
-0.394974874372,89038.0960517,442.839159691,442.839159691,0.0416666666667
-0.388944723618,91656.8635826,455.863840859,455.863840859,0.0416666666667
-0.382914572864,94275.6311136,468.888522026,468.888522026,0.0416666666667
-0.376884422111,96894.3986445,481.913203193,481.913203193,0.0416666666667
-0.370854271357,99513.1661754,494.937884361,494.937884361,0.0416666666667
-0.364824120603,102131.933706,507.962565528,507.962565528,0.0416666666667
-0.358793969849,104750.701237,520.987246696,520.987246696,0.0416666666667
-0.352763819095,107369.468768,534.011927863,534.011927863,0.0416666666667
-0.346733668342,109988.236299,547.03660903,547.03660903,0.0416666666667
-0.340703517588,112607.00383,560.061290198,560.061290198,0.0416666666667
-0.334673366834,115225.771361,573.085971365,573.085971365,0.0416666666667
-0.32864321608,117844.538892,586.110652532,586.110652532,0.0416666666667
-0.322613065327,120463.306423,599.1353337,599.1353337,0.0416666666667
-0.316582914573,123082.073954,612.160014867,612.160014867,0.0416666666667
-0.310552763819,125700.841485,625.184696035,625.184696035,0.0416666666667
-0.304522613065,128319.609016,638.209377202,638.209377202,0.0416666666667
-0.298492462312,130938.376547,651.234058369,651.234058369,0.0416666666667
-0.292462311558,133557.144078,664.258739537,664.258739537,0.0416666666667
-0.286432160804,136175.911608,677.283420704,677.283420704,0.0416666666667
-0.28040201005,138794.679139,690.308101872,690.308101872,0.0416666666667
-0.274371859296,141413.44667,703.332783039,703.332783039,0.0416666666667
-0.268341708543,144032.214201,716.357464206,716.357464206,0.0416666666667
-0.262311557789,146650.981732,729.382145374,729.382145374,0.0416666666667
-0.256281407035,149269.749263,742.406826541,742.406826541,0.0416666666667
-0.250251256281,151888.516794,755.431507708,755.431507708,0.0416666666667
-0.244221105528,154507.284325,768.456188876,768.456188876,0.0416666666667
-0.238190954774,157126.051856,781.480870043,781.480870043,0.0416666666667
-0.23216080402,159744.819387,794.505551211,794.505551211,0.0416666666667
-0.226130653266,162363.586918,807.530232378,807.530232378,0.0416666666667
-0.220100502513,164982.354449,820.554913545,820.554913545,0.0416666666667
-0.214070351759,167601.12198,833.579594713,833.579594713,0.0416666666667
-0.208040201005,170219.889511,846.60427588,846.60427588,0.0416666666667
-0.202010050251,172838.657042,859.628957048,859.628957048,0.0416666666667
-0.195979899497,173711.579552,1124.46414078,1124.46414078,0.0416666666667
-0.189949748744,173711.579552,1515.20457581,1515.20457581,0.0416666666667
-0.18391959799,173711.579552,1905.94501083,1905.94501083,0.0416666666667
-0.177889447236,173711.579552,2296.68544585,2296.68544585,0.0416666666667
-0.171859296482,173711.579552,2687.42588087,2687.42588087,0.0416666666667
-0.165829145729,173711.579552,3078.16631589,3078.16631589,0.0416666666667
-0.159798994975,173711.579552,3468.90675091,3468.90675091,0.0416666666667
-0.153768844221,173711.579552,3859.64718594,3859.64718594,0.0416666666667
-0.147738693467,173711.579552,4250.38762096,4250.38762096,0.0416666666667
-0.141708542714,173711.579552,4641.12805598,4641.12805598,0.0416666666667
-0.13567839196,173711.579552,5031.868491,5031.868491,0.0416666666667
-0.129648241206,173711.579552,5422.60892602,5422.60892602,0.0416666666667
-0.123618090452,173711.579552,5813.34936104,5813.34936104,0.0416666666667
-0.117587939698,173711.579552,6204.08979607,6204.08979607,0.0416666666667
-0.111557788945,173711.579552,6594.83023109,6594.83023109,0.0416666666667
-0.105527638191,173711.579552,6985.57066611,6985.57066611,0.0416666666667
-0.0994974874372,173711.579552,7376.31110113,7376.31110113,0.0416666666667
-0.0934673366834,173711.579552,7767.05153615,7767.05153615,0.0416666666667
-0.0874371859296,173711.579552,8157.79197117,8157.79197117,0.0416666666667
-0.0814070351759,173711.579552,8548.5324062,8548.5324062,0.0416666666667
