z,G,ILambda_0_0,ILambda_1_0,a
-0.6,0,0,0,8.33333333333
-0.593969849246,29796.3011141,1259.31771776,1259.31771776,8.33333333333
-0.587939698492,59592.6022283,2518.63543552,2518.63543552,8.33333333333
-0.581909547739,89388.9033424,3777.95315327,3777.95315327,8.33333333333
-0.575879396985,119185.204457,5037.27087103,5037.27087103,8.33333333333
-0.569849246231,148981.505571,6296.58858879,6296.58858879,8.33333333333
-0.563819095477,178777.806685,7555.90630655,7555.90630655,8.33333333333
-0.557788944724,208574.107799,8815.22402431,8815.22402431,8.33333333333
-0.55175879397,238370.408913,10074.5417421,10074.5417421,8.33333333333
-0.545728643216,243104.216941,10737.2508765,10737.2508765,8.33333333333
-0.539698492462,237518.174875,11154.2976532,11154.2976532,8.33333333333
-0.533668341709,231932.132809,11571.3444299,11571.3444299,8.33333333333
-0.527638190955,226346.090743,11988.3912065,11988.3912065,8.33333333333
-0.521608040201,220760.048677,12405.4379832,12405.4379832,8.33333333333
-0.515577889447,215174.006611,12822.4847598,12822.4847598,8.33333333333
-0.509547738693,209587.964544,13239.5315365,13239.5315365,8.33333333333
-0.50351758794,204001.922478,13656.5783132,13656.5783132,8.33333333333
-0.497487437186,201338.933411,13994.6389579,13994.6389579,8.33333333333
-0.491457286432,202768.21854,14222.1190179,14222.1190179,8.33333333333
-0.485427135678,204197.50367,14449.5990779,14449.5990779,8.33333333333
-0.479396984925,205626.7888,14677.0791379,14677.0791379,8.33333333333
-0.473366834171,207056.07393,14904.5591979,14904.5591979,8.33333333333
-0.467336683417,208485.359059,15132.0392579,15132.0392579,8.33333333333
-0.461306532663,209914.644189,15359.5193179,15359.5193179,8.33333333333
-0.45527638191,211343.929319,15586.9993779,15586.9993779,8.33333333333
-0.449246231156,212692.002774,15801.5544344,15801.5544344,8.33333333333
-0.443216080402,213471.594504,15925.6344672,15925.6344672,8.33333333333
-0.437185929648,214251.186235,16049.7144999,16049.7144999,8.33333333333
-0.431155778894,215030.777965,16173.7945326,16173.7945326,8.33333333333
-0.425125628141,215810.369695,16297.8745653,16297.8745653,8.33333333333
-0.419095477387,216589.961425,16421.9545981,16421.9545981,8.33333333333
-0.413065326633,217369.553156,16546.0346308,16546.0346308,8.33333333333
-0.407035175879,218149.144886,16670.1146635,16670.1146635,8.33333333333
-0.401005025126,218928.736616,16794.1946962,16794.1946962,8.33333333333
-0.394974874372,219413.000429,16871.2747166,16871.2747166,8.33333333333
-0.388944723618,219838.198657,16938.9547344,16938.9547344,8.33333333333
-0.382914572864,220263.396886,17006.6347523,17006.6347523,8.33333333333
-0.376884422111,220688.595115,17074.3147701,17074.3147701,8.33333333333
-0.370854271357,221113.793343,17141.994788,17141.994788,8.33333333333
-0.364824120603,221538.991572,17209.6748058,17209.6748058,8.33333333333
-0.358793969849,221964.189801,17277.3548237,17277.3548237,8.33333333333
-0.352763819095,222389.388029,17345.0348415,17345.0348415,8.33333333333
-0.346733668342,222709.863909,17396.0512186,17396.0512186,8.33333333333
-0.340703517588,222941.728572,17432.967592,17432.967592,8.33333333333
-0.334673366834,223173.593234,17469.8839654,17469.8839654,8.33333333333
-0.32864321608,223405.457896,17506.8003387,17506.8003387,8.33333333333
-0.322613065327,223637.322558,17543.7167121,17543.7167121,8.33333333333
-0.316582914573,223869.18722,17580.6330855,17580.6330855,8.33333333333
-0.310552763819,224101.051882,17617.5494589,17617.5494589,8.33333333333
-0.304522613065,224332.916544,17654.4658322,17654.4658322,8.33333333333
-0.298492462312,224538.404696,17687.1871632,17687.1871632,8.33333333333
-0.292462311558,224664.763315,17707.3233668,17707.3233668,8.33333333333
-0.286432160804,224791.121934,17727.4595705,17727.4595705,8.33333333333
-0.28040201005,224917.480553,17747.5957741,17747.5957741,8.33333333333
-0.274371859296,225043.839172,17767.7319778,17767.7319778,8.33333333333
-0.268341708543,225170.197791,17787.8681815,17787.8681815,8.33333333333
-0.262311557789,225296.55641,17808.0043851,17808.0043851,8.33333333333
-0.256281407035,225422.915029,17828.1405888,17828.1405888,8.33333333333
-0.250251256281,225549.273648,17848.2767924,17848.2767924,8.33333333333
-0.244221105528,225620.391127,17859.6415437,17859.6415437,8.33333333333
-0.238190954774,225689.106816,17870.6249276,17870.6249276,8.33333333333
-0.23216080402,225757.822505,17881.6083114,17881.6083114,8.33333333333
-0.226130653266,225826.538195,17892.5916952,17892.5916952,8.33333333333
-0.220100502513,225895.253884,17903.575079,17903.575079,8.33333333333
-0.214070351759,225963.969574,17914.5584628,17914.5584628,8.33333333333
-0.208040201005,226032.685263,17925.5418466,17925.5418466,8.33333333333
-0.202010050251,226101.400952,17936.5252304,17936.5252304,8.33333333333
-0.195979899497,226149.040469,17944.1803161,17944.1803161,8.33333333333
-0.189949748744,226186.141899,17950.1712528,17950.1712528,8.33333333333
-0.18391959799,226223.243329,17956.1621894,17956.1621894,8.33333333333
-0.177889447236,226260.344758,17962.153126,17962.153126,8.33333333333
-0.171859296482,226297.446188,17968.1440626,17968.1440626,8.33333333333
-0.165829145729,226334.547618,17974.1349993,17974.1349993,8.33333333333
-0.159798994975,226371.649048,17980.1259359,17980.1259359,8.33333333333
-0.153768844221,226408.750478,17986.1168725,17986.1168725,8.33333333333
-0.147738693467,226439.26665,17991.0866268,17991.0866268,8.33333333333
-0.141708542714,226458.807392,17994.3544104,17994.3544104,8.33333333333
-0.13567839196,226478.348135,17997.622194,17997.622194,8.33333333333
-0.129648241206,226497.888877,18000.8899776,18000.8899776,8.33333333333
-0.123618090452,226517.429619,18004.1577612,18004.1577612,8.33333333333
-0.117587939698,226536.970362,18007.4255448,18007.4255448,8.33333333333
-0.111557788945,226556.511104,18010.6933284,18010.6933284,8.33333333333
-0.105527638191,226576.051846,18013.961112,18013.961112,8.33333333333
-0.0994974874372,226594.746014,18017.105116,18017.105116,8.33333333333
-0.0934673366834,226604.127866,18018.8875434,18018.8875434,8.33333333333
-0.0874371859296,226613.509717,18020.6699708,18020.6699708,8.33333333333
-0.0814070351759,226622.891568,18022.4523983,18022.4523983,8.33333333333
-0.0753768844221,226632.273419,18024.2348257,18024.2348257,8.33333333333
-0.0693467336683,226641.65527,18026.0172531,18026.0172531,8.33333333333
-0.0633165829146,226651.037121,18027.7996805,18027.7996805,8.33333333333
-0.0572864321608,226660.418972,18029.582108,18029.582108,8.33333333333
-0.051256281407,226669.800823,18031.3645354,18031.3645354,8.33333333333
-0.0452261306533,226673.95359,18032.505559,18032.505559,8.33333333333
-0.0391959798995,226676.730281,18033.4777921,18033.4777921,8.33333333333
-0.0331658291457,226679.506972,18034.4500253,18034.4500253,8.33333333333
-0.027135678392,226682.283664,18035.4222584,18035.4222584,8.33333333333
-0.0211055276382,226685.060355,18036.3944916,18036.3944916,8.33333333333
-0.0150753768844,226687.837046,18037.3667247,18037.3667247,8.33333333333
-0.00904522613065,226690.613738,18038.3389579,18038.3389579,8.33333333333
-0.00301507537688,226693.390429,18039.311191,18039.311191,8.33333333333
0.00301507537688,226693.390429,18040.0624621,18040.0624621,8.33333333333
0.00904522613065,226690.613738,18040.592771,18040.592771,8.33333333333
0.0150753768844,226687.837046,18041.12308,18041.12308,8.33333333333
0.0211055276382,226685.060355,18041.653389,18041.653389,8.33333333333
0.027135678392,226682.283664,18042.183698,18042.183698,8.33333333333
0.0331658291457,226679.506972,18042.714007,18042.714007,8.33333333333
0.0391959798995,226676.730281,18043.244316,18043.244316,8.33333333333
0.0452261306533,226673.95359,18043.774625,18043.774625,8.33333333333
0.051256281407,226669.800823,18044.2547153,18044.2547153,8.33333333333
0.0572864321608,226660.418972,18044.5439747,18044.5439747,8.33333333333
0.0633165829146,226651.037121,18044.8332342,18044.8332342,8.33333333333
