z,G,ILambda_0_0,ILambda_1_0,a
-0.6,0,0,0,8.33333333333
-0.593969849246,30071.4539382,953.969481086,953.969481086,8.33333333333
-0.587939698492,60142.9078764,1907.93896217,1907.93896217,8.33333333333
-0.581909547739,90214.3618146,2861.90844326,2861.90844326,8.33333333333
-0.575879396985,120285.815753,3815.87792435,3815.87792435,8.33333333333
-0.569849246231,150357.269691,4769.84740543,4769.84740543,8.33333333333
-0.563819095477,180428.723629,5723.81688652,5723.81688652,8.33333333333
-0.557788944724,210500.177567,6677.7863676,6677.7863676,8.33333333333
-0.55175879397,240571.631506,7631.75584869,7631.75584869,8.33333333333
-0.545728643216,245293.570158,8194.12954802,8194.12954802,8.33333333333
-0.539698492462,239577.473104,8595.25792546,8595.25792546,8.33333333333
-0.533668341709,233861.376049,8996.38630289,8996.38630289,8.33333333333
-0.527638190955,228145.278995,9397.51468032,9397.51468032,8.33333333333
-0.521608040201,222429.181941,9798.64305776,9798.64305776,8.33333333333
-0.515577889447,216713.084887,10199.7714352,10199.7714352,8.33333333333
-0.509547738693,210996.987833,10600.8998126,10600.8998126,8.33333333333
-0.50351758794,205280.890779,11002.0281901,11002.0281901,8.33333333333
-0.497487437186,202488.171617,11348.3311513,11348.3311513,8.33333333333
-0.491457286432,203788.181506,11617.8785298,11617.8785298,8.33333333333
-0.485427135678,205088.191394,11887.4259084,11887.4259084,8.33333333333
-0.479396984925,206388.201283,12156.973287,12156.973287,8.33333333333
-0.473366834171,207688.211172,12426.5206655,12426.5206655,8.33333333333
-0.467336683417,208988.22106,12696.0680441,12696.0680441,8.33333333333
-0.461306532663,210288.230949,12965.6154226,12965.6154226,8.33333333333
-0.45527638191,211588.240837,13235.1628012,13235.1628012,8.33333333333
-0.449246231156,212813.512561,13493.6578224,13493.6578224,8.33333333333
-0.443216080402,213515.617128,13674.7863423,13674.7863423,8.33333333333
-0.437185929648,214217.721696,13855.9148621,13855.9148621,8.33333333333
-0.431155778894,214919.826264,14037.043382,14037.043382,8.33333333333
-0.425125628141,215621.930831,14218.1719019,14218.1719019,8.33333333333
-0.419095477387,216324.035399,14399.3004218,14399.3004218,8.33333333333
-0.413065326633,217026.139967,14580.4289417,14580.4289417,8.33333333333
-0.407035175879,217728.244534,14761.5574615,14761.5574615,8.33333333333
-0.401005025126,218430.349102,14942.6859814,14942.6859814,8.33333333333
-0.394974874372,218874.756265,15074.301941,15074.301941,8.33333333333
-0.388944723618,219267.623947,15196.0153885,15196.0153885,8.33333333333
-0.382914572864,219660.491629,15317.728836,15317.728836,8.33333333333
-0.376884422111,220053.359311,15439.4422835,15439.4422835,8.33333333333
-0.370854271357,220446.226993,15561.1557311,15561.1557311,8.33333333333
-0.364824120603,220839.094676,15682.8691786,15682.8691786,8.33333333333
-0.358793969849,221231.962358,15804.5826261,15804.5826261,8.33333333333
-0.352763819095,221624.83004,15926.2960736,15926.2960736,8.33333333333
-0.346733668342,221928.090797,16026.3833086,16026.3833086,8.33333333333
-0.340703517588,222155.530308,16108.1714407,16108.1714407,8.33333333333
-0.334673366834,222382.96982,16189.9595727,16189.9595727,8.33333333333
-0.32864321608,222610.409332,16271.7477048,16271.7477048,8.33333333333
-0.322613065327,222837.848844,16353.5358369,16353.5358369,8.33333333333
-0.316582914573,223065.288356,16435.323969,16435.323969,8.33333333333
-0.310552763819,223292.727868,16517.112101,16517.112101,8.33333333333
-0.304522613065,223520.16738,16598.9002331,16598.9002331,8.33333333333
-0.298492462312,223724.638233,16673.9811832,16673.9811832,8.33333333333
-0.292462311558,223860.203108,16728.9405873,16728.9405873,8.33333333333
-0.286432160804,223995.767983,16783.8999914,16783.8999914,8.33333333333
-0.28040201005,224131.332859,16838.8593956,16838.8593956,8.33333333333
-0.274371859296,224266.897734,16893.8187997,16893.8187997,8.33333333333
-0.268341708543,224402.46261,16948.7782038,16948.7782038,8.33333333333
-0.262311557789,224538.027485,17003.7376079,17003.7376079,8.33333333333
-0.256281407035,224673.592361,17058.697012,17058.697012,8.33333333333
-0.250251256281,224809.157236,17113.6564161,17113.6564161,8.33333333333
-0.244221105528,224893.811773,17151.3388175,17151.3388175,8.33333333333
-0.238190954774,224976.252817,17188.2700449,17188.2700449,8.33333333333
-0.23216080402,225058.69386,17225.2012722,17225.2012722,8.33333333333
-0.226130653266,225141.134904,17262.1324996,17262.1324996,8.33333333333
-0.220100502513,225223.575948,17299.063727,17299.063727,8.33333333333
-0.214070351759,225306.016992,17335.9949543,17335.9949543,8.33333333333
-0.208040201005,225388.458035,17372.9261817,17372.9261817,8.33333333333
-0.202010050251,225470.899079,17409.857409,17409.857409,8.33333333333
-0.195979899497,225531.936769,17438.7123395,17438.7123395,8.33333333333
-0.189949748744,225582.272783,17463.5291216,17463.5291216,8.33333333333
-0.18391959799,225632.608796,17488.3459037,17488.3459037,8.33333333333
-0.177889447236,225682.944809,17513.1626857,17513.1626857,8.33333333333
-0.171859296482,225733.280823,17537.9794678,17537.9794678,8.33333333333
-0.165829145729,225783.616836,17562.7962498,17562.7962498,8.33333333333
-0.159798994975,225833.952849,17587.6130319,17587.6130319,8.33333333333
-0.153768844221,225884.288863,17612.429814,17612.429814,8.33333333333
-0.147738693467,225926.949206,17634.1938791,17634.1938791,8.33333333333
-0.141708542714,225956.816766,17650.8700829,17650.8700829,8.33333333333
-0.13567839196,225986.684326,17667.5462866,17667.5462866,8.33333333333
-0.129648241206,226016.551885,17684.2224904,17684.2224904,8.33333333333
-0.123618090452,226046.419445,17700.8986941,17700.8986941,8.33333333333
-0.117587939698,226076.287005,17717.5748979,17717.5748979,8.33333333333
-0.111557788945,226106.154565,17734.2511016,17734.2511016,8.33333333333
-0.105527638191,226136.022125,17750.9273053,17750.9273053,8.33333333333
-0.0994974874372,226164.717128,17767.1476551,17767.1476551,8.33333333333
-0.0934673366834,226180.514006,17778.3536112,17778.3536112,8.33333333333
-0.0874371859296,226196.310884,17789.5595674,17789.5595674,8.33333333333
-0.0814070351759,226212.107762,17800.7655235,17800.7655235,8.33333333333
-0.0753768844221,226227.90464,17811.9714797,17811.9714797,8.33333333333
